-0.083,-0.627,-0.044,-0.477,-1.314,0.885,0.881,1.710,0.050,-0.405,-0.545,-1.546
0.889,-0.596,-0.323,-0.719,-0.036,-0.478,0.294,1.573,-0.066,-1.747,-0.120,-1.883
1.022,-0.478,-0.345,-0.622,0.193,-0.586,0.234,1.612,0.134,-1.422,0.126,-1.812
1.060,-0.417,-0.337,-0.598,0.291,-0.613,0.190,1.611,0.272,-1.342,0.380,-1.659
1.124,-0.414,-0.351,-0.602,0.371,-0.679,0.165,1.584,0.391,-1.172,0.500,-1.571
1.178,-0.409,-0.371,-0.647,0.470,-0.727,0.137,1.544,0.497,-0.955,0.500,-1.496
1.264,-0.431,-0.409,-0.672,0.517,-0.841,0.141,1.490,0.588,-0.737,0.474,-1.480
1.284,-0.426,-0.412,-0.698,0.579,-0.932,0.165,1.399,0.675,-0.725,0.592,-1.446
1.306,-0.444,-0.420,-0.692,0.614,-1.055,0.157,1.334,0.776,-0.610,0.598,-1.386
1.314,-0.442,-0.414,-0.699,0.600,-1.105,0.176,1.247,0.867,-0.426,0.531,-1.315
1.334,-0.438,-0.461,-0.717,0.616,-1.175,0.188,1.148,0.970,-0.387,0.567,-1.274
1.385,-0.490,-0.474,-0.754,0.642,-1.263,0.203,1.061,1.058,-0.373,0.625,-1.263
1.389,-0.482,-0.500,-0.802,0.704,-1.342,0.222,0.994,1.113,-0.406,0.718,-1.241
1.430,-0.511,-0.509,-0.831,0.714,-1.417,0.227,0.897,1.208,-0.378,0.751,-1.293
1.440,-0.508,-0.537,-0.901,0.723,-1.467,0.224,0.834,1.273,-0.386,0.830,-1.341
1.484,-0.553,-0.566,-0.846,0.658,-1.486,0.235,0.759,1.334,-0.453,0.942,-1.434
1.516,-0.572,-0.546,-0.885,0.659,-1.541,0.236,0.737,1.338,-0.410,0.960,-1.474
1.550,-0.591,-0.556,-0.896,0.737,-1.622,0.252,0.706,1.349,-0.429,1.015,-1.494
1.560,-0.587,-0.565,-0.869,0.715,-1.608,0.226,0.695,1.394,-0.428,1.022,-1.526
1.575,-0.594,-0.581,-0.857,0.691,-1.622,0.243,0.655,1.412,-0.442,1.051,-1.639
1.548,-0.567,-0.573,-0.867,0.787,-1.762,0.271,0.624,1.425,-0.420,1.053,-1.631
1.547,-0.558,-0.572,-0.861,0.767,-1.750,0.289,0.591,1.437,-0.393,1.045,-1.684
1.516,-0.537,-0.528,-0.873,0.791,-1.757,0.307,0.551,1.438,-0.376,1.042,-1.800
1.551,-0.572,-0.537,-0.887,0.750,-1.725,0.328,0.541,1.425,-0.311,1.018,-1.836
1.519,-0.536,-0.527,-0.913,0.783,-1.768,0.329,0.535,1.411,-0.272,1.002,-1.900
1.547,-0.564,-0.538,-0.908,0.848,-1.805,0.353,0.495,1.410,-0.258,0.992,-1.975
1.532,-0.560,-0.506,-0.951,0.848,-1.857,0.371,0.474,1.407,-0.250,1.018,-2.013
